,address,coordinates
0,"1900 S D St, McAllen, TX 78503, USA","26.18368016,-98.21822053"
1,"1200 Grant Blvd W, Wabasha, MN 55981, USA","44.38778872,-92.04738659"
2,"1330 Oak Ln # 101, Lynchburg, VA 24503, USA","37.43825833,-79.18779398"
3,"125 Hospital Center Blvd #201, Stafford, VA 22554, USA","38.41525697,-77.40720772"
4,"9431 Eastside Dr, Newton, MS 39345, USA","32.35620681,-89.12786608"
5,"2400 Round Rock Ave, Round Rock, TX 78681, USA","30.51110777,-97.7136084"
6,"2001 N Oregon St, El Paso, TX 79902, USA","31.77100376,-106.4998735"
7,"295A Midland Pkwy Ste 120, Summerville, SC 29485, USA","32.96587788,-80.15760709"
8,"820 N Chelan Ave, Wenatchee, WA 98801, USA","47.43352928,-120.3230866"
9,"311 W Cherry St, Ackerman, MS 39735, USA","33.31312711,-89.17460507"
10,"4101 NW 89 Blvd, Gainesville, FL 32606, USA","29.69160311,-82.43622449"
11,"440 N Hiawatha Dr, Canton, SD 57013, USA","43.30449784,-96.55755977"
12,"5656 S Power Rd, Gilbert, AZ 85295, USA","33.31390869,-111.6874273"
13,"630 State Hwy 71, Bastrop, TX 78602, USA","30.10848029,-97.34475731"
14,"350 Kingwood Medical Dr #215, Kingwood, TX 77339, USA","30.04794384,-95.25908591"
15,"16901 Lakeside Hills Ct, Omaha, NE 68130, USA","41.23775265,-96.180395"
16,"601 7th St, Platte, SD 57369, USA","43.38464768,-98.83615644"
17,"5899 Rivendell Dr, West Jordan, UT 84081, USA","40.58836593,-112.0311715"
18,"Unnamed Road, Connelly Springs, NC 28612, USA","35.74812386,-81.52341992"
19,"2200 W Broad St, Columbus, OH 43223, USA","39.95675249,-83.05916505"
20,"Cafetería Central, Centro Médico, San Juan, 00921, Puerto Rico","18.39681887,-66.07345087"
21,"777 Seaview Ave, Staten Island, NY 10305, USA","40.58201505,-74.08061727"
22,"333 Lorenaly Dr, Brownsville, TX 78526, USA","25.97380934,-97.50988921"
23,"607 Watkins Ctr Pkwy, Midlothian, VA 23114, USA","37.51019015,-77.69623495"
24,"240 W 18th St, Horton, KS 66439, USA","39.67327422,-95.53049381"
25,"1325 Pennsylvania Ave, Fort Worth, TX 76104, USA","32.73670911,-97.33988601"
26,"3100 N Tenaya Way, Las Vegas, NV 89128, USA","36.21585229,-115.249107"
27,"601 Children's Ln, Norfolk, VA 23507, USA","36.86252074,-76.30167623"
28,"16850 Buccaneer Ln, Houston, TX 77058, USA","29.5548362,-95.116592"
29,"9601 Steilacoom Blvd SW, Lakewood, WA 98498, USA","47.17831999,-122.565735"
30,"200 St Clair Ave, St Marys, OH 45885, USA","40.54435085,-84.37071357"
31,"3351 Waterview Pkwy, Richardson, TX 75080, USA","32.99798275,-96.75493758"
32,"9407 Cumberland Rd, New Kent, VA 23124, USA","37.54635996,-76.97854052"
33,"1300 N Main Ave, Big Lake, TX 76932, USA","31.20401254,-101.4610176"
34,"4848 NE Stallings Dr STE 103, Nacogdoches, TX 75965, USA","31.65314431,-94.65387312"
35,"1900 Richmond Rd, Lexington, KY 40502, USA","38.02270661,-84.47269852"
36,"1100 Allied Dr, Plano, TX 75093, USA","33.01459949,-96.7893949"
37,"611 E Fairview Ave, Olivia, MN 56277, USA","44.77372516,-94.98553568"
38,"105 Red Bud Dr, Portland, TN 37148, USA","36.55737037,-86.51219369"
39,"500 Gaslight Blvd, Lufkin, TX 75904, USA","31.32839947,-94.75405884"
40,"4935 S 76th St, Greenfield, WI 53220, USA","42.9556029,-88.0089756"
41,"530 Bogachiel Way, Forks, WA 98331, USA","47.94620734,-124.392588"
42,"1500 Weiss St, Saginaw, MI 48602, USA","43.44479571,-83.96202358"
43,"1100 Lake View Dr, Wausau, WI 54403, USA","44.93175012,-89.63355049"
44,"401 S 3rd St, Enid, OK 73701, USA","36.39263246,-97.87408924"
45,"2200 Randallia Dr, Fort Wayne, IN 46805, USA","41.09617146,-85.11021903"
46,"1800 W Charleston Blvd, Las Vegas, NV 89102, USA","36.15962373,-115.1674567"
47,"1900 Hospital Boulevard, Gainesville, TX 76240, USA","33.64636264,-97.1627319"
48,"707 Sheridan Ave Second Floor, Cody, WY 82414, USA","44.52659524,-109.0732833"
49,"1818 48th St, Des Moines, IA 50310, USA","41.61073277,-93.68345522"
50,"1100 Grampian Blvd, Williamsport, PA 17701, USA","41.260041,-76.984769"
51,"744 Middle Creek Rd Suite 208, Sevierville, TN 37862, USA","35.85592321,-83.53521998"
52,"10085 Double R Blvd #205, Reno, NV 89521, USA","39.4361337,-119.759815"
53,"315 M.L.K. Jr Way, Tacoma, WA 98405, USA","47.25981135,-122.4528678"
54,"6350 E 2nd St, Casper, WY 82609, USA","42.84168021,-106.2308097"
55,"1000 Walters St, Lake Charles, LA 70607, USA","30.18253778,-93.20809966"
56,"1401 W Central Park Ave, Davenport, IA 52804, USA","41.54367413,-90.59376514"
